seed,method,tau_low,tau_high,theta,scorer,conformal_target_recall,coreset_budget,safety_recall,storage_savings_pct,duplicate_pairs,samples_removed,n_test,level0_count,level1_count,level2_count,level3_count
42,path_b,0.05,0.15,0.85,bnn_mean,0.99,off,0.9894259818731118,23.96500213401622,126457,1123,4686,3544,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_variance,0.9,off,0.8814199395770392,22.32180964575331,126457,1046,4686,3636,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_variance,0.95,off,0.93202416918429,17.221510883482715,126457,807,4686,3876,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,126457,533,4686,4152,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_combined,0.9,off,0.9388217522658611,37.878787878787875,126457,1775,4686,2179,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_combined,0.95,off,0.9546827794561934,35.14724711907811,126457,1647,4686,2698,2422,854,133
42,path_b,0.05,0.15,0.85,bnn_combined,0.99,off,0.9901812688821753,22.769953051643192,126457,1067,4686,3611,2422,854,133
42,path_b,0.05,0.15,0.85,isolation_forest,0.9,off,0.9622356495468278,18.053777208706787,126457,846,4686,3319,2422,854,133
42,path_b,0.05,0.15,0.85,isolation_forest,0.95,off,0.9803625377643505,11.096884336320956,126457,520,4686,3891,2422,854,133
42,path_b,0.05,0.15,0.85,isolation_forest,0.99,off,0.9924471299093656,4.780196329492104,126457,224,4686,4395,2422,854,133
42,path_b,0.05,0.15,0.85,autoencoder,0.9,off,0.9856495468277946,7.618437900128041,126457,357,4686,4012,2422,854,133
42,path_b,0.05,0.15,0.85,autoencoder,0.95,off,0.9939577039274925,4.9722577891591975,126457,233,4686,4262,2422,854,133
42,path_b,0.05,0.15,0.85,autoencoder,0.99,off,1.0,1.5364916773367476,126457,72,4686,4571,2422,854,133
42,path_b,0.05,0.15,0.85,ecod,0.9,off,0.9826283987915407,11.7797695262484,126457,552,4686,3741,2422,854,133
42,path_b,0.05,0.15,0.85,ecod,0.95,off,0.9916918429003021,6.103286384976526,126457,286,4686,4205,2422,854,133
42,path_b,0.05,0.15,0.85,ecod,0.99,off,0.9984894259818731,1.4084507042253522,126457,66,4686,4581,2422,854,133
42,path_b,0.05,0.5,0.85,off,off,off,0.6155589123867069,51.664532650448145,126457,2421,4686,0,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_mean,0.9,off,0.947129909365559,36.91848058045241,126457,1730,4686,2014,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_mean,0.95,off,0.9569486404833837,34.52838241570636,126457,1618,4686,2642,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_mean,0.99,off,0.9894259818731118,23.96500213401622,126457,1123,4686,3544,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_variance,0.9,off,0.8814199395770392,22.32180964575331,126457,1046,4686,3636,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_variance,0.95,off,0.93202416918429,17.221510883482715,126457,807,4686,3876,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_variance,0.99,off,0.9803625377643505,11.37430644472898,126457,533,4686,4152,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_combined,0.9,off,0.9388217522658611,37.878787878787875,126457,1775,4686,2179,2422,98,133
42,path_b,0.05,0.5,0.85,bnn_combined,0.95,off,0.9546827794561934,35.14724711907811,126457,1647,4686,2698,2422,98,133
